File,Buffer Size,Runtime (ms),Ratio (Uncompressed/Compressed Size)
txt,1,232,1.698423454
txt,100,1780,1.752167024
txt,200,6762,1.771067879
txt,300,10578,1.785364927
txt,400,14812,1.801705961
txt,500,18066,1.817909293
txt,600,23403,1.815013275
txt,700,27014,1.825766037
txt,800,31305,1.83101198
txt,900,36821,1.834585732
txt,1000,42307,1.844938417
txt,1500,67874,1.85926219
txt,2000,143810,1.87064033
html,1,294,1.472797775
html,100,1697,1.874009469
html,200,7979,2.282090186
html,300,10698,2.511152665
html,400,14711,2.61324623
html,500,20129,2.672684626
html,600,22607,2.710640138
html,700,27460,2.749689214
html,800,32904,2.803190696
html,900,41016,2.832542373
html,1000,45154,2.900941213
html,1500,67103,3.12620552
html,2000,139584,3.195003824
jpg,1,432,1.023294373
jpg,100,1850,1.022877326
jpg,200,7506,1.022905119
jpg,300,14827,1.030126416
jpg,400,18112,1.030492979
jpg,500,21378,1.030634034
jpg,600,22056,1.03066225
jpg,700,25633,1.030718686
jpg,800,30256,1.030803351
jpg,900,33708,1.030944492
jpg,1000,36581,1.031029194
jpg,1500,63242,1.031170396
jpg,2000,100447,1.031170396
